COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 30381 
 NOMBRE    : ZILACATIPAN 
 ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE 
 MUNICIPIO : HUAYACOCOTLA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 20.65583333 ° 
 LONGITUD  : -98.34805556 ° 
 ALTITUD   : 971 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1983-05-18	0.1	NULO	NULO	NULO
1985-03-15	0	NULO	25	7.5
1985-03-16	0	NULO	21.5	9.5
1985-03-17	0	NULO	20	9
1985-03-18	0	NULO	25	10
1985-03-19	5.5	NULO	24	6
1985-03-20	2	NULO	23.5	10.5
1985-03-21	0	NULO	24	10.5
1985-03-22	0	NULO	23.5	8.5
1985-03-23	0	NULO	20.5	6
1985-03-24	0	NULO	20.5	9.5
1985-03-25	0	NULO	21.5	10.5
1985-03-26	10.5	NULO	22.5	9
1985-03-27	0	NULO	23.5	10.5
1985-03-28	0	NULO	24.5	10.5
1985-03-29	0	NULO	26.5	10.5
1985-03-30	0	NULO	30	11
1985-03-31	0	NULO	21	10
1985-04-01	10	NULO	18.5	6.5
1985-04-02	0	NULO	12.5	5
1985-04-03	10	NULO	26	4
1985-04-04	6.2	NULO	14.5	4.5
1985-04-05	2.4	NULO	25.5	9.5
1985-04-06	11.3	NULO	22	9
1985-04-07	0	NULO	22.5	4.5
1985-04-08	0	NULO	22.5	8
1985-04-09	0	NULO	21	9.5
1985-04-10	63.8	NULO	26.5	11
1985-04-11	12.2	NULO	19.5	4.5
1985-04-12	11.4	NULO	18	9
1985-04-13	2.4	NULO	16.5	10.5
1985-04-14	0	NULO	22	9
1985-04-15	0	NULO	21	8
1985-04-16	0	NULO	22.5	11.5
1985-04-17	0	NULO	22.5	10.5
1985-04-18	0	NULO	18.5	11.5
1985-04-19	5.3	NULO	22	9
1985-04-20	0	NULO	23.5	9
1985-04-21	3.3	NULO	25	8.5
1985-04-22	3.6	NULO	23	11
1985-04-23	0	NULO	25.5	13
1985-04-24	11	NULO	23	12.5
1985-04-25	0	NULO	26	9.5
1985-04-26	0	NULO	26.5	11
1985-04-27	2.2	NULO	25	4.5
1985-04-28	2.7	NULO	26	10
1985-04-29	0	NULO	26.5	12.5
1985-04-30	0	NULO	25	10
1985-05-01	0	NULO	22.5	11.5
1985-05-02	0	NULO	26	12.5
1985-05-03	0	NULO	26	10
1985-05-04	0	NULO	22.5	11
1985-05-05	0	NULO	20.5	12.5
1985-05-06	11.2	NULO	20.5	11.5
1985-05-07	0	NULO	19.5	8
1985-05-08	0	NULO	22.5	10.5
1985-05-09	0	NULO	24.5	11
1985-05-10	0	NULO	25.5	5.5
1985-05-11	0	NULO	27	10.5
1985-05-12	0	NULO	27	9
1985-05-13	0	NULO	26	13.5
1985-05-14	0	NULO	26	10
1985-05-15	0	NULO	21	11
1985-05-16	8.5	NULO	27.5	9
1985-05-17	0	NULO	26.5	13
1985-05-18	0	NULO	20	11
1985-05-19	3.5	NULO	22.5	10
1985-05-20	0	NULO	24.5	11
1985-05-21	0	NULO	28.5	4.5
1985-05-22	0	NULO	26	11
1985-05-23	0	NULO	24.5	11.5
1985-05-24	0	NULO	26.5	12.5
1985-05-25	0	NULO	23.5	9.5
1985-05-26	0	NULO	20	11.5
1985-05-27	0	NULO	26.5	10.5
1985-05-28	0	NULO	24.5	9
1985-05-29	0	NULO	25.5	11
1985-05-30	0	NULO	27.5	11
1985-05-31	0	NULO	27	9.5
1985-06-01	0	NULO	24.5	11.5
1985-06-02	0	NULO	26	11
1985-06-03	37.6	NULO	20	14.5
1985-06-04	0	NULO	20.5	13.5
1985-06-05	0	NULO	23	13
1985-06-06	0	NULO	22.5	13
1985-06-07	7	NULO	21	11.5
1985-06-08	8	NULO	21.5	10
1985-06-09	0	NULO	21.5	11.5
1985-06-10	0	NULO	22	12
1985-06-11	0	NULO	21.5	12.5
1985-06-12	4.4	NULO	23	13.5
1985-06-13	6.5	NULO	21	13
1985-06-14	8.3	NULO	20.5	12
1985-06-15	0	NULO	20.5	11.5
1985-06-16	8	NULO	21	13
1985-06-17	10.3	NULO	22.5	10
1985-06-18	9.5	NULO	21.5	11.5
1985-06-19	40.6	NULO	26.5	13
1985-06-20	45.5	NULO	22.5	14.5
1985-06-21	20.8	NULO	23	12
1985-06-22	25.3	NULO	20.5	13.5
1985-06-23	23	NULO	20.5	13.5
1985-06-24	56.3	NULO	19.5	13.5
1985-06-25	75.3	NULO	20	10
1985-06-26	4.7	NULO	22.5	11.5
1985-06-27	16.1	NULO	23	11.5
1985-06-28	51.2	NULO	22.5	13.5
1985-06-29	75.3	NULO	15	13
1985-06-30	4.7	NULO	16	10
1985-07-01	2	NULO	16.5	9.5
1985-07-02	14.3	NULO	17.5	4.5
1985-07-03	14.8	NULO	16.5	9.5
1985-07-04	40.4	NULO	17.5	10.5
1985-07-05	32.5	NULO	22	9.5
1985-07-06	0	NULO	22.5	11.5
1985-07-07	13.3	NULO	21	12.5
1985-07-08	0	NULO	19.5	10.5
1985-07-09	0	NULO	20.5	10.5
1985-07-10	0	NULO	22.5	10.5
1985-07-11	0	NULO	21.5	10
1985-07-12	7.3	NULO	19	12.5
1985-07-13	200	NULO	16	13
1985-07-14	40.8	NULO	14.5	9
1985-07-15	138.2	NULO	16	12.5
1985-07-16	27.9	NULO	18.5	11.5
1985-07-17	40.2	NULO	17.5	10.5
1985-07-18	54.8	NULO	20.5	10
1985-07-19	18.8	NULO	20.5	10
1985-07-20	0	NULO	21.5	11
1985-07-21	3.8	NULO	22	10.5
1985-07-22	3.8	NULO	21	13.5
1985-07-23	13.9	NULO	21.5	15.5
1985-07-24	7.4	NULO	21	13
1985-07-25	0	NULO	20.5	13
1985-07-26	0	NULO	20	13.5
1985-07-27	9.2	NULO	19.5	11.5
1985-07-28	36.4	NULO	18	10.5
1985-07-29	100	NULO	17.5	10.5
1985-07-30	123.1	NULO	17	12.5
1985-07-31	6.9	NULO	19.5	12.5
1985-08-01	10.1	NULO	18.5	9
1985-08-02	8.8	NULO	21.5	12.5
1985-08-03	13.8	NULO	19.5	10.5
1985-08-04	8.2	NULO	19.5	10
1985-08-05	2.6	NULO	20	10.5
1985-08-06	0	NULO	20	13.5
1985-08-07	0	NULO	22	12.5
1985-08-08	0	NULO	19	12.5
1985-08-09	0	NULO	18.5	10.5
1985-08-10	0	NULO	21.5	13
1985-08-11	0	NULO	20.5	13
1985-08-12	1.4	NULO	23.5	12
1985-08-13	0	NULO	22.5	10
1985-08-14	0	NULO	21	12.5
1985-08-15	4.2	NULO	19.5	13.5
1985-08-16	21.3	NULO	20	13
1985-08-17	26	NULO	20.5	13.5
1985-08-18	11.4	NULO	20	12.5
1985-08-19	0	NULO	22	12.5
1985-08-20	0	NULO	20	10.5
1985-08-21	3.9	NULO	21.5	11.5
1985-08-22	20	NULO	20.5	10.5
1985-08-23	55.5	NULO	20.5	11
1985-08-24	21.5	NULO	19	11.5
1985-08-25	31.2	NULO	20.5	12
1985-08-26	180.8	NULO	19	11.5
1985-08-27	150.4	NULO	16.5	12
1985-08-28	85.4	NULO	18	11.5
1985-08-29	8.8	NULO	18.5	11.5
1985-08-30	3.1	NULO	20.5	12
1985-08-31	0	NULO	22.5	11.5
1985-09-01	0	NULO	22	12.5
1985-09-02	0	NULO	20.5	11.5
1985-09-03	0	NULO	21.5	11.5
1985-09-04	0	NULO	24.5	13
1985-09-05	55.1	NULO	22	11
1985-09-06	31.7	NULO	23.5	11.5
1985-09-07	5.8	NULO	20.5	11
1985-09-08	0	NULO	21.5	10.5
1985-09-09	0	NULO	24.5	10
1985-09-10	10.2	NULO	22.5	10.5
1985-09-11	21.5	NULO	20.5	11.5
1985-09-12	19.7	NULO	20.5	10.5
1985-09-13	33.9	NULO	21.5	10
1985-09-14	54.8	NULO	15.5	10.5
1985-09-15	8.3	NULO	18	11.5
1985-09-16	6.9	NULO	18.5	10
1985-09-17	21.2	NULO	19.5	12.5
1985-09-18	22.5	NULO	20	11.5
1985-09-19	4	NULO	20.5	11.5
1985-09-20	16.3	NULO	19.5	11.5
1985-09-21	0	NULO	18.5	10
1985-09-22	0	NULO	21.5	9.5
1985-09-23	0	NULO	22	9.5
1985-09-24	2.7	NULO	23.5	12.5
1985-09-25	0	NULO	22	11.5
1985-09-26	0	NULO	20	11.5
1985-09-27	10.5	NULO	22.5	11
1985-09-28	38.2	NULO	21.5	10.5
1985-09-29	0	NULO	19.5	11
1985-09-30	42.5	NULO	19.5	13.5
1985-10-01	4.6	NULO	14.5	10
1985-10-02	3.4	NULO	18	8.5
1985-10-03	0	NULO	15.5	8.5
1985-10-04	80	NULO	17.5	10
1985-10-05	62.7	NULO	17.5	10
1985-10-06	0	NULO	16	7.5
1985-10-07	1	NULO	20	10.5
1985-10-08	0	NULO	18.5	11
1985-10-09	7.9	NULO	19.5	12.5
1985-10-10	2.6	NULO	21.5	13.5
1985-10-11	0	NULO	19	8.5
1985-10-12	0	NULO	21.5	10.5
1985-10-13	0	NULO	21.5	12
1985-10-14	10.7	NULO	22	13
1985-10-15	15.2	NULO	22.5	11.5
1985-10-16	8.4	NULO	21.5	10
1985-10-17	0	NULO	21	10
1985-10-18	7.6	NULO	20.5	9.5
1985-10-19	0	NULO	22.5	12
1985-10-20	17.5	NULO	21.5	10
1985-10-21	14.7	NULO	20.5	9.5
1985-10-22	0	NULO	21	11.5
1985-10-23	0	NULO	21.5	11
1985-10-24	5.2	NULO	21.5	11.5
1985-10-25	8.9	NULO	22	10
1985-10-26	0	NULO	17.5	9.5
1985-10-27	0	NULO	18.5	8.5
1985-10-28	0	NULO	20	5
1985-10-29	0	NULO	21	3.5
1985-10-30	9.6	NULO	22.5	6.5
1985-10-31	0	NULO	21.5	7.5
1985-11-01	4.5	NULO	22	8.5
1985-11-02	5.5	NULO	26.5	5
1985-11-03	0	NULO	20	3.5
1985-11-04	1.8	NULO	13.5	3
1985-11-05	0	NULO	15.5	3.5
1985-11-06	0	NULO	19.5	7.5
1985-11-07	0	NULO	17.5	8.5
1985-11-08	0	NULO	20	9
1985-11-09	0	NULO	24.5	9.5
1985-11-10	0	NULO	21	10
1985-11-11	0	NULO	22	9.5
1985-11-12	0	NULO	20.5	8
1985-11-13	0	NULO	20	9
1985-11-14	0	NULO	21.5	9.5
1985-11-15	11.8	NULO	17	10
1985-11-16	6.5	NULO	18.5	11.5
1985-11-17	1	NULO	18	10.5
1985-11-18	0	NULO	19.5	10
1985-11-19	12.3	NULO	20.5	10
1985-11-20	11.5	NULO	18.5	11.5
1985-11-21	10.9	NULO	16.5	10
1985-11-22	0	NULO	20.5	10
1985-11-23	0	NULO	22	8.5
1985-11-24	1.6	NULO	20	8
1985-11-25	0	NULO	20.5	7.5
1985-11-26	0	NULO	23.5	8.5
1985-11-27	0	NULO	20	10
1985-11-28	0	NULO	19.5	12.5
1985-11-29	0	NULO	20.5	11.5
1985-11-30	0	NULO	21	10.5
1986-01-01	0	NULO	20	4.5
1986-01-02	0	NULO	18.5	5
1986-01-03	0	NULO	21.5	8
1986-01-04	0	NULO	20.5	7.5
1986-01-05	3.2	NULO	23.5	6.5
1986-01-06	0	NULO	20.5	3.5
1986-01-07	5.3	NULO	20	11.5
1986-01-08	0	NULO	21	5.5
1986-01-09	0	NULO	22	7.5
1986-01-10	2.8	NULO	21.5	6
1986-01-11	0	NULO	10.5	5.5
1986-01-12	0	NULO	10.5	0
1986-01-13	0	NULO	13.5	1
1986-01-14	0	NULO	12.5	0
1986-01-15	0	NULO	14.5	1.5
1986-01-16	0	NULO	16	4
1986-01-17	0	NULO	16.5	5
1986-01-18	0	NULO	15.5	7.5
1986-01-19	0	NULO	16.5	5
1986-01-20	0	NULO	19.5	4.5
1986-01-21	0	NULO	19	8.5
1986-01-22	0	NULO	18.5	10.5
1986-01-23	0	NULO	16.5	6
1986-01-24	16	NULO	15	5
1986-01-25	0	NULO	18	6
1986-01-26	0	NULO	8.5	1.5
1986-01-27	0	NULO	18.5	0
1986-01-28	0	NULO	20	1.5
1986-01-29	0	NULO	22.5	4.5
1986-01-30	0	NULO	18	6
1986-01-31	0	NULO	17.5	8.5
1986-02-01	0	NULO	18.5	6.5
1986-02-02	0	NULO	19	7
1986-02-03	0	NULO	20	7.5
1986-02-04	0	NULO	19.5	9.5
1986-02-05	0	NULO	18	7.5
1986-02-06	0	NULO	22	8.5
1986-02-07	0	NULO	25.5	8.5
1986-02-08	0	NULO	24.5	8.5
1986-02-09	0	NULO	24.5	11.5
1986-02-10	2.5	NULO	22	12
1986-02-11	2.6	NULO	24.5	2.5
1986-02-12	2.4	NULO	18.5	3.5
1986-02-13	0	NULO	21.5	7.5
1986-02-14	0	NULO	22.5	9
1986-02-15	0	NULO	22.5	6.5
1986-02-16	0	NULO	23.5	8
1986-02-17	0	NULO	25.5	6
1986-02-18	0	NULO	24.5	8.5
1986-02-19	0	NULO	24	10
1986-02-20	0	NULO	23.5	14.5
1986-02-21	0	NULO	26.5	11
1986-02-22	0	NULO	25.5	10.5
1986-02-23	0	NULO	25	4.5
1986-02-24	3	NULO	26	6
1986-02-25	0	NULO	24.5	6.5
1986-02-26	0	NULO	25	6
1986-02-27	0	NULO	26.5	10.5
1986-02-28	0	NULO	24	4
1986-03-01	0.7	NULO	13.5	7.5
1986-03-02	0	NULO	23	5.5
1986-03-03	0	NULO	21.5	10.5
1986-03-04	7	NULO	25.5	5.5
1986-03-05	1.7	NULO	15.5	9
1986-03-06	5.4	NULO	16.5	7.5
1986-03-07	0	NULO	21.5	8.5
1986-03-08	0	NULO	22	9.5
1986-03-09	0	NULO	23.5	10
1986-03-10	0	NULO	28.5	10.5
1986-03-11	0	NULO	29	11.5
1986-03-12	0	NULO	27.5	12.5
1986-03-13	0	NULO	28.5	12
1986-03-14	0	NULO	25.5	14.5
1986-03-15	0	NULO	24.5	12.5
1986-03-16	0	NULO	24	8.5
1986-03-17	0	NULO	26	9
1986-03-18	0	NULO	28.5	9.5
1986-03-19	0	NULO	25	13.5
1986-03-20	0	NULO	20.5	8.5
1986-03-21	12.1	NULO	12	5.5
1986-03-22	2.1	NULO	14	0
1986-03-23	0	NULO	12.5	2.5
1986-03-24	0	NULO	15.5	3
1986-03-25	0	NULO	16.5	4
1986-03-26	0	NULO	19	4
1986-03-27	0	NULO	17.5	6.5
1986-03-28	13.3	NULO	15	6.5
1986-03-29	10	NULO	18.5	6
1986-03-30	0	NULO	22	6.5
1986-03-31	0	NULO	23.5	7.5
1986-04-01	0	NULO	24.5	10.5
1986-04-02	0	NULO	26	9
1986-04-03	0	NULO	30	8.5
1986-04-04	0	NULO	29.5	16.5
1986-04-05	0	NULO	28	15
1986-04-06	0	NULO	22	13.5
1986-04-07	0	NULO	23.5	11.5
1986-04-08	0	NULO	24	12
1986-04-09	0	NULO	25	11.5
1986-04-10	0	NULO	25.5	10
1986-04-11	0	NULO	24.5	11
1986-04-12	0	NULO	26	10.5
1986-04-13	0	NULO	25.5	12
1986-04-14	0	NULO	28	15.5
1986-04-15	0	NULO	30.5	16.5
1986-04-16	1.1	NULO	23.5	11.5
1986-04-17	0	NULO	24	12.5
1986-04-18	1.3	NULO	26.5	12
1986-04-19	11.4	NULO	24.5	11.5
1986-04-20	0	NULO	19.5	11.5
1986-04-21	0	NULO	20.5	10.5
1986-04-22	0	NULO	22	9
1986-04-23	0	NULO	23	10
1986-04-24	0	NULO	20.5	9.5
1986-04-25	0	NULO	20.5	8
1986-04-26	0	NULO	22	8.5
1986-04-27	0	NULO	21.5	9.5
1986-04-28	0	NULO	20	9
1986-04-29	3.5	NULO	24	10.5
1986-04-30	0	NULO	23	11.5
1986-05-01	44.8	NULO	25.5	11.5
1986-05-02	2.8	NULO	22.5	8.5
1986-05-03	3.1	NULO	23	9.5
1986-05-04	0	NULO	20.5	10
1986-05-05	0	NULO	21.5	10.5
1986-05-06	0	NULO	25	10.5
1986-05-07	0	NULO	25.5	14.5
1986-05-08	0	NULO	26.5	14.5
1986-05-09	2.4	NULO	25	12
1986-05-10	0	NULO	20.5	13.5
1986-05-11	0	NULO	21	10.5
1986-05-12	0	NULO	20.5	10.5
1986-05-13	0	NULO	25	12
1986-05-14	0	NULO	25.5	10.5
1986-05-15	0	NULO	26	13.5
1986-05-16	0	NULO	25.5	15
1986-05-17	47.8	NULO	27.5	11.5
1986-05-18	1.4	NULO	27.5	7.5
1986-05-19	0	NULO	20	7.5
1986-05-20	0	NULO	19	10
1986-05-21	0	NULO	25.5	10
1986-05-22	0	NULO	25.5	10
1986-05-23	0	NULO	25.5	9
1986-05-24	9.4	NULO	22.5	6.5
1986-05-25	3.5	NULO	23.5	11
1986-05-26	0	NULO	24.5	8.5
1986-05-27	0	NULO	23	12.5
1986-05-28	14.9	NULO	21.5	12.5
1986-05-29	4.8	NULO	22	11
1986-05-30	11.5	NULO	21	11.5
1986-05-31	28.2	NULO	20.5	12
1986-06-01	1.1	NULO	21.5	12.5
1986-06-02	49.4	NULO	20	11.5
1986-06-03	20	NULO	19.5	12.5
1986-06-04	3.8	NULO	18.5	12
1986-06-05	0	NULO	25.5	13.5
1986-06-06	0	NULO	23	14.5
1986-06-07	1	NULO	23.5	14.5
1986-06-08	6.5	NULO	25.5	14.5
1986-06-09	1.4	NULO	22.5	12.5
1986-06-10	12.9	NULO	20	12
1986-06-11	0	NULO	25.5	11.5
1986-06-12	0	NULO	22.5	13.5
1986-06-13	0	NULO	21.5	14
1986-06-14	23.5	NULO	20.5	12
1986-06-15	7.3	NULO	19.5	11.5
1986-06-16	29.5	NULO	20.5	13.5
1986-06-17	25.6	NULO	20.5	12.5
1986-06-18	32.5	NULO	20.5	11
1986-06-19	2.5	NULO	21.5	13.5
1986-06-20	25.8	NULO	28.5	12.5
1986-06-21	4.9	NULO	18.5	13
1986-06-22	21.6	NULO	20.5	13.5
1986-06-23	44.8	NULO	20.5	11
1986-06-24	30.2	NULO	21	11.5
1986-06-25	0	NULO	20	12.5
1986-06-26	125.6	NULO	20	11
1986-06-27	0	NULO	19.5	10.5
1986-06-28	40.5	NULO	20.5	11
1986-06-29	55.6	NULO	19.5	10
1986-06-30	2.2	NULO	18.5	13.5
1986-07-01	4.9	NULO	19.5	13.5
1986-07-02	7.8	NULO	19	12.5
1986-07-03	13.2	NULO	20	12
1986-07-04	2.2	NULO	20.5	10
1986-07-05	11.6	NULO	20	10
1986-07-06	39	NULO	19.5	11.5
1986-07-07	1.5	NULO	19.5	12
1986-07-08	7.4	NULO	18	12.5
1986-07-09	6.6	NULO	18.5	12
1986-07-10	0.3	NULO	16.5	13.5
1986-07-11	5.4	NULO	16.5	12.5
1986-07-12	6.5	NULO	20.5	13
1986-07-13	6	NULO	20	10.5
1986-07-14	7.2	NULO	15	12
1986-07-15	3.4	NULO	17	10.5
1986-07-16	10	NULO	18.5	10.5
1986-07-17	31.5	NULO	19	11
1986-07-18	14.4	NULO	19.5	11
1986-07-19	14.7	NULO	18	11.5
1986-07-20	1	NULO	20	11
1986-07-21	7	NULO	19	12
1986-07-22	6	NULO	20	13
1986-07-23	24	NULO	21	12
1986-07-24	4	NULO	20	12
1986-07-25	1.1	NULO	20.5	13.5
1986-07-26	0	NULO	19.5	12
1986-07-27	0	NULO	23	13
1986-07-28	1.4	NULO	21	13
1986-07-29	9.5	NULO	22	14
1986-07-30	9.4	NULO	21.5	12.5
1986-07-31	4.5	NULO	23	13.5
1986-08-01	13	NULO	19.5	13
1986-08-02	31	NULO	20	12
1986-08-03	5	NULO	20.5	13
1986-08-04	40.6	NULO	22	13.5
1986-08-05	11.2	NULO	21	13
1986-08-06	0.3	NULO	20.5	12
1986-08-07	3	NULO	21	12
1986-08-08	1.1	NULO	20.5	11.5
1986-08-09	11.5	NULO	20	12.5
1986-08-10	3.7	NULO	22	12
1986-08-11	2.3	NULO	18.5	13
1986-08-12	0	NULO	21.5	13.5
1986-08-13	14.5	NULO	22	13.5
1986-08-14	0	NULO	20	12
1986-08-15	0	NULO	21.5	13.5
1986-08-16	0	NULO	24.5	12.5
1986-08-17	36.6	NULO	24.5	12
1986-08-18	2.5	NULO	18.5	11.5
1986-08-19	14.6	NULO	19	11.5
1986-08-20	1.6	NULO	18.5	10.5
1986-08-21	20	NULO	20.5	10
1986-08-22	24	NULO	21.5	11.5
1986-08-23	0	NULO	20.5	10.5
1986-08-24	0	NULO	23	11.5
1986-08-25	0	NULO	22.5	12
1986-08-26	2.4	NULO	20	10.5
1986-08-27	8.2	NULO	21.5	13
1986-08-28	0	NULO	20.5	11.5
1986-08-29	3.6	NULO	22	13.5
1986-08-30	0	NULO	24.5	12.5
1986-08-31	10.4	NULO	20.5	10
1986-09-01	74	NULO	20.5	13.5
1986-09-02	5.5	NULO	19.5	14.5
1986-09-03	0	NULO	19	13.5
1986-09-04	22	NULO	20.5	13
1986-09-05	21.5	NULO	20	13.5
1986-09-06	19.6	NULO	22.5	14
1986-09-07	20.4	NULO	27	10.5
1986-09-08	62.5	NULO	19.5	14.5
1986-09-09	70.5	NULO	21	10
1986-09-10	0	NULO	19.5	13
1986-09-11	97	NULO	19	11.5
1986-09-12	100.5	NULO	18.5	10
1986-09-13	18.8	NULO	19	10.5
1986-09-14	84.8	NULO	21	11.5
1986-09-15	16.6	NULO	24	11
1986-09-16	17.7	NULO	22	12.5
1986-09-17	20.6	NULO	20.5	13
1986-09-18	19.8	NULO	19.5	13
1986-09-19	16.9	NULO	23	12.5
1986-09-20	15.3	NULO	20.5	13
1986-09-21	0	NULO	19.5	14.5
1986-09-22	0	NULO	21.5	14.5
1986-09-23	0	NULO	19.5	13
1986-09-24	25	NULO	21	12.5
1986-09-25	22.8	NULO	22.5	11
1986-09-26	44.8	NULO	22	10.5
1986-09-27	10.6	NULO	21.5	9
1986-09-28	11.7	NULO	21	8.5
1986-09-29	0	NULO	20.5	8.5
1986-09-30	0	NULO	20	9
1986-10-01	20	NULO	17	12.5
1986-10-02	13	NULO	24.5	10.5
1986-10-03	15.5	NULO	21.5	12.5
1986-10-04	19.5	NULO	22.5	12
1986-10-05	18.5	NULO	18	14
1986-10-06	13	NULO	23.5	15
1986-10-07	15	NULO	17	15.5
1986-10-08	12	NULO	19	13.5
1986-10-09	19.5	NULO	20	13
1986-10-10	20.5	NULO	22.5	13.5
1986-10-11	20	NULO	23.5	14.5
1986-10-12	10	NULO	21	13
1986-10-13	16	NULO	20	13
1986-10-14	19.5	NULO	24	14.5
1986-10-15	18	NULO	20	15
1986-10-16	15	NULO	22.5	16
1986-10-17	10.5	NULO	23	17.5
1986-10-18	19	NULO	23	13
1986-10-19	18.5	NULO	20.5	17.5
1986-10-20	43.5	NULO	19	15
1986-10-21	19	NULO	18.5	14.5
1986-10-22	9	NULO	20.5	12.5
1986-10-23	11.5	NULO	20.5	10
1986-10-24	10.3	NULO	23	10
1986-10-25	9.5	NULO	22	18.5
1986-10-26	18	NULO	17.5	10
1986-10-27	9.5	NULO	19	12
1986-10-28	10.5	NULO	20.5	13
1986-10-29	9	NULO	21	13
1986-10-30	11	NULO	22.5	16.5
1986-10-31	0	NULO	19.5	13
1986-11-01	25.6	NULO	19.5	16.5
1986-11-02	0	NULO	19.5	14.5
1986-11-03	2.4	NULO	20.5	14.5
1986-11-04	0	NULO	21	13
1986-11-05	0	NULO	22	14.5
1986-11-06	1.2	NULO	22	14.5
1986-11-07	0	NULO	21	15.5
1986-11-08	0	NULO	20.5	16
1986-11-09	0	NULO	19	17
1986-11-10	0	NULO	18.5	16
1986-11-11	0	NULO	16.5	16
1986-11-12	6.5	NULO	17	14
1986-11-13	0	NULO	17.5	13.5
1986-11-14	0	NULO	17.5	13.5
1986-11-15	0	NULO	18	16
1986-11-16	2.9	NULO	19.5	16
1986-11-17	0	NULO	20	17
1986-11-18	3.2	NULO	19.5	18.5
1986-11-19	0	NULO	NULO	NULO
1986-11-20	0	NULO	21.5	17
1986-11-21	0	NULO	19	16
1986-11-22	0	NULO	18.5	16
1986-11-23	1	NULO	20.5	15.5
1986-11-24	0.2	NULO	21	15
1986-11-25	5.8	NULO	20.5	15.5
1986-11-26	1.7	NULO	21.5	16.5
1986-11-27	10.6	NULO	23	17.5
1986-11-28	11.6	NULO	25.5	15
1986-11-29	20	NULO	24	14.5
1986-11-30	0	NULO	24	13
1986-12-01	0	NULO	16.5	13
1986-12-02	0	NULO	18	12.5
1986-12-03	0	NULO	20	10
1986-12-04	3	NULO	23.5	11.5
1986-12-05	7.5	NULO	18.5	12.5
1986-12-06	5.5	NULO	19	10
1986-12-07	14	NULO	19	13
1986-12-08	7	NULO	24.5	10.5
1986-12-09	2	NULO	18.5	10
1986-12-10	9.7	NULO	17	10.5
1986-12-11	20.2	NULO	22	12
1986-12-12	11	NULO	15.5	10
1986-12-13	8	NULO	25	8
1986-12-14	10.5	NULO	19.5	10.5
1986-12-15	12	NULO	17.5	14
1986-12-16	17	NULO	19	12.5
1986-12-17	20.5	NULO	17	9
1986-12-18	13.5	NULO	17	11
1986-12-19	16	NULO	16	7.5
1986-12-20	11.2	NULO	18	6.5
1986-12-21	3.5	NULO	19.5	8
1986-12-22	0	NULO	22.5	12
1986-12-23	6	NULO	24	12
1986-12-24	12.5	NULO	23.5	9
1986-12-25	19	NULO	18.5	5.5
1986-12-26	11.5	NULO	19.5	8.5
1986-12-27	9	NULO	15.5	12
1986-12-28	13	NULO	17	6
1986-12-29	17.5	NULO	16.5	10
1986-12-30	10.5	NULO	25.5	9
1986-12-31	0	NULO	25.5	8
1987-03-01	6.9	NULO	26.5	10
1987-03-02	5.5	NULO	25.5	11.5
1987-03-03	42	NULO	18.5	8.5
1987-03-04	18.9	NULO	24	5
1987-03-05	10.5	NULO	21.5	8.5
1987-03-06	0	NULO	20.5	12
1987-03-07	0	NULO	21.5	13.5
1987-03-08	0	NULO	20	12.5
1987-03-09	0	NULO	21.5	12.5
1987-03-10	0	NULO	20	11
1987-03-11	7.9	NULO	21.5	8.5
1987-03-12	8.6	NULO	22.5	10
1987-03-13	8.7	NULO	17.5	6.5
1987-03-14	0	NULO	23.5	10
1987-03-15	0	NULO	23.5	10.5
1987-03-16	0	NULO	22	13.5
1987-03-17	0	NULO	24.5	10.5
1987-03-18	0	NULO	25	12.5
1987-03-19	0	NULO	26.5	13
1987-03-20	0	NULO	27.5	13
1987-03-21	0	NULO	29.5	12.5
1987-03-22	0	NULO	21.5	14.5
1987-03-23	0	NULO	22	18.5
1987-03-24	0	NULO	27.5	11
1987-03-25	0	NULO	27.5	12
1987-03-26	0	NULO	24.5	14.5
1987-03-27	0	NULO	21.5	14.5
1987-03-28	0	NULO	22	11.5
1987-03-29	0	NULO	22.5	1.5
1987-03-30	0	NULO	25	1.5
1987-03-31	0	NULO	10	1
1987-05-01	0	NULO	25	12.5
1987-05-02	0	NULO	24	17
1987-05-03	0	NULO	27.5	15
1987-05-04	0	NULO	30	13.5
1987-05-05	8.4	NULO	15.5	10
1987-05-06	10.3	NULO	15	4.5
1987-05-07	17.8	NULO	15	8
1987-05-08	8.7	NULO	16	8
1987-05-09	1.8	NULO	18.5	10.5
1987-05-10	0	NULO	25.5	12.5
1987-05-11	5.4	NULO	25.5	10.5
1987-05-12	0	NULO	24.5	11.5
1987-05-13	0	NULO	21.5	10.5
1987-05-14	0	NULO	16.5	11
